Criterion,Study Link,NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
"Inclusion Criteria:

* Generally healthy women between ages 18 and 40, current clients of the CAP program
* Singleton, uncomplicated pregnancies, dated with routine 16 to 20 week ultrasound (as is part of standard care at CAP)
* Abstinence from licit and illicit substance abuse in the four weeks prior to consent

Exclusion Criteria:

* Complications of pregnancy, including gestational diabetes, polyhydramnios, hypertension, placenta previa or preterm labor
* Significant maternal health problems related to pregnancy, including HIV infection and Type I diabetes
* Significant maternal psychopathology or other pathology that would preclude informed consent (schizophrenia, mental retardation)
* Recent drug use, defined as positive urine toxicology (performed randomly at least weekly in the treatment center), clinical positives (subject appearing intoxicated at the treatment center) or patient report in the four weeks prior to recruitment, or at any time during study participation (i.e. from 28 weeks to 36 weeks gestation)
* Recent alcohol use, by clinical detection, patient report or breathalyzer reading (performed at the treatment center to confirm clinical impression) at any time in the four weeks prior to recruitment, or at any time during study participation",https://clinicaltrials.gov/ct2/show/NCT00522626,NCT00522626,Unknown,COMPLETED,2006-08,"Pregnancy, Drug Abuse",Maternal fetal monitoring,Baltimore - United States,2010-02,2007-08-30,2016-03-01,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* a score of eight or more points on the Child Psychosocial Distress Screener (CPDS)

Exclusion Criteria:

* High suicide risk
* Severe impairment
* Lack of parental consent",https://clinicaltrials.gov/ct2/show/NCT04082026,NCT04082026,Unknown,COMPLETED,2018-05-01,Mental Health Wellness 1,Early Adolescent Skills for Emotions EASE),New York - United States,2019-03-01,2019-09-09,2019-09-09,INTERVENTIONAL,NA
"\*Please note that only patients who are seen by one of our participating CF clinics (listed in ""locations"") will be approached about UPLIFT (if eligible) during this phase of the UPLIFT project.\*

Inclusion Criteria:

First, patients will have to agree to have their contact information shared with the study team in order to be eligible.

Eligibility criteria:

* have been diagnosed with CF for at least 1 year;
* score 5-14 on the GAD-7 and/or a 5-19 on the PHQ-9;
* be ≥13 years of age;
* be English speaking; and
* not have a prominent cognitive impairment.

Exclusion Criteria:

* Persons reporting active suicidal ideation on the PHQ-9 will be excluded.",https://clinicaltrials.gov/ct2/show/NCT03139266,NCT03139266,Unknown,COMPLETED,2015-04-07,"Cystic Fibrosis, Anxiety, Depression","UPLIFT, Treatment as usual",Richmond - United States,2022-08-02,2017-05-03,2023-06-06,INTERVENTIONAL,NA
"Inclusion criteria:

* Established diagnosis of NVAMD in one or both eyes
* Received 2 or more intravitreal injections of anti-VEGF therapy from the retinal physician during the prior 6 months
* Need for more therapy on a near monthly basis is anticipated
* Usual corrected visual acuity (UCVA) of at least one eye must be 20/200 or better
* Must be physically able to cooperate with OCT and other diagnostic imaging procedures
* Must be able to give informed consent and be able to complete telephone surveys

Exclusion criteria:

* Systemic disease that can affect the peripheral retina (e.g., diabetes mellitus, sickle cell)
* History of symptomatic posterior vitreous detachment, retinal tear, or retinal detachment
* History of retinal surgery will not be enrolled.",https://clinicaltrials.gov/ct2/show/NCT02251366,NCT02251366,Unknown,COMPLETED,2014-10,Neovascular Age Related Macular Degeneration,Physician-guided diagnostic,"Bel Air - United States, Bethesda - United States, Columbia - United States, Frederick - United States, Lutherville - United States",2016-10-30,2014-09-29,2018-08-31,INTERVENTIONAL,NA
"Inclusion Criteria:

* Polyps equal or larger than 1 cm

Exclusion Criteria:

* Coagulopathy
* Inability to sign informed consent",https://clinicaltrials.gov/ct2/show/NCT00583466,NCT00583466,Unknown,COMPLETED,2007-05,Large Polyps in the Gastrointestinal Tract,"Autologous blood injection, Normal saline, HPMC",Baltimore - United States,2008-05,2007-12-31,2017-09-13,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Adult \> 18 years of age
* Closed fracture
* Isolated injury
* No prior injury to ipsilateral forearm
* Less than or equal to two attempts at reduction

Exclusion Criteria:

* Ipsilateral upper extremity injury
* Open injury or neurovascular compromise
* Greater than two attempts at reduction
* Presentation greater than 24 hours after injury",https://clinicaltrials.gov/ct2/show/NCT02679066,NCT02679066,Unknown,TERMINATED,2014-01,Distal Radius Fracture,"Sugar-tong splint, Short forearm cast",Baltimore - United States,2019-02,2016-02-10,2020-03-25,INTERVENTIONAL,NA
"Inclusion Criteria:

1. Meet the diagnostic criteria for NF12
2. ≥ 18 years of age
3. Have a minimum of 24 measurable cNF (2 target areas of ≥6 measurable cNF)

   a. Measurable is defined as: i. non-pedunculated (no stalk) ii. surrounded by uninvolved skin and not adjacent to another cNF lesion iii. measuring ≥ 0.5 cm in the longest diameter and ≥ 0.5 cm in height iv. the 24 cNF must be located in two Target Areas. One target area must be located on the back and must have at least 6 measurable cNF. The second target area can be in any of the following body regions with at least 6 cNF: head and neck; upper extremities; anterior chest wall, anterior abdominal wall; pelvic region/gluteal region; lower extremities.
4. Participants must have cNF that meet eligibility criteria located within the two study designated target areas or outside of the target areas amenable to biopsy. If biopsy is taken within the target area there must be a minimum of 6 cNF remaining for long term surveillance after biopsy. Participants must be willing to undergo pre-, and on-treatment tumor biopsies providing fresh tumor tissue; there should be no contraindication for serial biopsy
5. Karnofsky performance level of ≥ 80%.
6. Adequate organ and bone marrow function as defined by the following Screening laboratory values:

   1. Absolute neutrophil count ≥ 1500 cells/µL;
   2. Platelets ≥ 100 x 103/µL;
   3. Hemoglobin ≥ 9.5 g/dL;
   4. Serum albumin ≥ 2.8 g/dL;
   5. Calculated creatinine clearance at Screening ≥ 60 mL/min (by Cockcroft-Gault formula) OR a normal serum creatinine.
7. Participant is willing and able to comply with all aspects of the protocol
8. Ability to understand and the willingness to sign written informed consent document(s).
9. Women of childbearing potential (WOCBP) must not be pregnant or breastfeeding during any portion of the study and must use an adequate method to avoid pregnancy during the study period and for 6 months after treatment conclusion and agrees not to donate eggs (ova, oocytes) for the purpose of reproduction during the study and for a period of 6 months after last dose of study treatment. The Investigator should evaluate the effectiveness of the contraceptive method in relationship to the first dose of study treatment (see the Approved Methods of birth control listed below).

   * In order for a woman to be determined not of childbearing potential, she must have ≥ 12 months of non-therapy-induced amenorrhea or be surgically or medically sterile.
   * WOCBP must have a negative serum pregnancy test result at Screening and a negative urine pregnancy test result at the Baseline visit prior to the first dose of study treatment.

     * The Investigator is responsible for review of medical history, menstrual history, and recent sexual activity to decrease the risk for inclusion of a woman with an early undetected pregnancy.
10. Male participants are eligible to participate if they agree to the following during the treatment period and for at least 90 days after the last dose of study treatment:

    * Refrain from donating sperm

PLUS either:

* Be abstinent from heterosexual intercourse as their preferred and usual lifestyle (abstinent on a long term and persistent basis) and agree to remain abstinent until 90 days after the last study drug treatment; OR
* Must agree to use a male condom when having sexual intercourse with a WOCBP and their female partner must utilize one the approved methods of birth control below:

Approved Methods of birth control for this study are:

* Total abstinence
* Male or female sterilization (vasectomy in males or surgical removal of ovaries or uterus in females)
* Unsterilized male study participants must use a male condom and their female partner must use one of the methods below:
* Unsterilized female study participants must use one of the following highly effective methods listed below:

Acceptable birth control methods which are considered highly effective if they result in a failure rate of less than 1% per year when used consistently and correctly:

* Combined (estrogen and progestogen containing) hormonal contraceptive that stops the release of eggs from the ovary (oral, intravaginal, or transdermal)
* Progestogen-only hormonal contraception that stops the release of eggs from the ovary (oral, injectable, implantable)
* Intrauterine device (IUD)
* Intrauterine hormone-releasing system (IUS)
* Bilateral tubal occlusion or bilateral tubal ligation

Exclusion Criteria:

1. Participant has a altered screening values:

   1. alanine transaminase (ALT) value of \> 2.0 x upper limit of normal (ULN);
   2. total bilirubin value of \> 1.5 x ULN (isolated bilirubin \> 1.5 x ULN is acceptable if bilirubin is fractionated and direct bilirubin \< 35%);
2. Participant has a history of malignancy associated hypercalcemia;
3. Participant has an active parathyroid disorder, hyperphosphatemia at Screening (serum phosphorus \> 1 x ULN), or serum calcium (mg/dL) x serum phosphorus (mg/dL) product \> 70 at Screening;
4. Any clinically significant active or known history of liver disease, or known hepatic or biliary abnormalities (with the exception of Gilbert's syndrome or asymptomatic gallstones);
5. Hepatitis serology will be tested at Screening. Participants who are hepatitis B surface antigen (HBsAg) positive or hepatitis C virus (HCV) antibody positive at Screening must not be enrolled until further definite testing with hepatitis B virus (HBV) deoxyribonucleic acid (DNA) titers is \< 500 IU/mL or HCV ribonucleic acid (RNA) polymerase chain reaction test is negative;
6. Lymphoma, leukemia, or any malignancy (including malignant glioma or MPNST) within the past 5 years except for basal cell or squamous epithelial carcinomas of the skin that have been resected with no evidence of metastatic disease for 3 years;
7. Breast cancer within the past 3 years;
8. Active optic glioma or other low-grade glioma requiring treatment with chemotherapy or radiation therapy.

   a. Participants not requiring treatment are eligible. Ophthalmological findings secondary to long-standing optic pathway glioma (such as visual loss, optic nerve pallor or strabismus) or long-standing orbito-temporal PN (such as visual loss, strabismus) will NOT be considered a significant abnormality for the purposes of the study;
9. Abnormal QT interval corrected by Fridericia's formula (\> 450 msec for male participants, \> 470 msec for female participants, or \> 480 msec for participants with known bundle branch block), calculated from triplicate ECG readings taken approximately 2 to 3 minutes apart and averaged at Screening;
10. Participant has experienced any of the following within 6 months (24 weeks) of signing informed consent/assent: clinically significant cardiac disease, myocardial infarction, severe/unstable angina, coronary/peripheral artery bypass graft, cerebrovascular accident, transient ischemic attack, or symptomatic pulmonary embolism;
11. A recorded LVEF \< 55% at screening or within 3 years of signing informed consent/assent, OR has a history of congestive heart failure;
12. Participants with a history of, or evidence of, retinal pathology on ophthalmologic examination that is considered a risk factor for central serous retinopathy, retinal vein occlusion (RVO), or neovascular macular degeneration. Participants will be excluded from study participation if they have any of the following risk factors for RVO at Screening:

    * Intraocular pressure \> 21 mmHg;
    * Serum cholesterol \> 300 mg/dL;
    * Serum triglycerides \> 300 mg/dL;
    * Hyperglycemia (fasting blood glucose \> 125 mg/dL or random blood glucose \> 200 mg/dL);
    * Hypertension (BP ≥ 140/90 mm Hg)
13. History of glaucoma;
14. Known history of a positive human immunodeficiency virus (HIV) antibody test;
15. Known malabsorption syndrome or preexisting gastrointestinal conditions that may impair absorption of mirdametinib (e.g., gastric bypass, lap band, or other gastric procedures). Delivery of mirdametinib via nasogastric tube or gastrostomy tube is not allowed.
16. Previously treated with MEK inhibitor including mirdametinib (PD-0325901) and had to stop treatment due to adverse event.
17. Currently receiving therapy with a MEK inhibitor including mirdametinib (PD-0325901) or treated with a MEK inhibitor in the 12 months prior to prior to first dose of study treatment.
18. Received radiation therapy within the 6 months prior to prior to first dose of study treatment. Participants who have received radiation to the orbit at any time are excluded.
19. Pregnant or breastfeeding women may not take study drug.
20. Current enrollment or past participation in any other clinical study (excluding observational studies) within 28 days of first dose of study treatment.
21. Known sensitivity to the study treatment, or components thereof, or drug or other allergy that, could compromise safety of the subject
22. Participant is receiving systemic (oral, inhaled, of IV/SC) or ocular glucocorticoid therapy (with the exception of participants with endocrine deficiencies who are allowed to receive physiologic or stress doses of steroids, if necessary) within 14 days prior to first dose of study treatment;
23. Participants are excluded if they have severe and/or uncontrolled medical disease or social situation, which could compromise participation in the study (e.g. uncontrolled diabetes, uncontrolled hypertension, severe infection, severe malnutrition, chronic liver or renal disease, active upper GI tract ulceration, congestive heart failure, drug or alcohol dependence, etc.).
24. Participants is receiving systemic treatment of a pan-cytochrom 450 (CYP) inducers such as rifampin or ritonavir within 14-days prior to first dose of study treatment Drug Development and Drug Interactions",https://clinicaltrials.gov/ct2/show/NCT06159166,NCT06159166,Mirda,RECRUITING,2024-02-12,"NF1, Cutaneous Neurofibroma, Monotherapy",Mirdametinib,Baltimore - United States,2027-11-15,2023-12-06,2024-04-25,INTERVENTIONAL,"PHASE1, PHASE2"
"Inclusion Criteria:

* Adults with COPD who are either active or former smokers

Exclusion Criteria:

* Clinical requirement or history of intolerance of angiotensin receptor blockers, serious heart, liver, kidney, neurological disease.",https://clinicaltrials.gov/ct2/show/NCT00720226,NCT00720226,Unknown,COMPLETED,2008-07,"COPD, Emphysema, Chronic Bronchitis, Smoking","Losartan, Placebo",Baltimore - United States,2014-08,2008-07-22,2017-04-25,INTERVENTIONAL,PHASE4
"Inclusion Criteria:

* Scheduled for an initial diagnostic biopsy
* Elevated serum PSA (prostate specific antigen\> 4 ng/ml) and/or abnormal digital rectal exam

Exclusion Criteria:

* Clinical diagnosis of prostate cancer
* Prior prostate biopsy
* Anal stenosis that prevents TRUS probe insertion
* Inadequate bowel prep
* Unwilling or unable to sign the informed consent",https://clinicaltrials.gov/ct2/show/NCT02871726,NCT02871726,Unknown,RECRUITING,2021-11-24,Prostate Cancer,"TRUS-Robot, TRUS biopsy",Baltimore - United States,2026-08,2016-08-18,2024-02-13,INTERVENTIONAL,NA
"Inclusion Criteria:

* Aged 1 to \<18 years old, either sex, any race or ethnicity
* Provide signed informed consent by parent or legal guardian and informed assent if applicable
* Has a physician confirmed diagnosis of atopic dermatitis
* Has received dupilumab for at least 12 months for the treatment of atopic dermatitis
* Has had well-controlled atopic dermatitis on dupilumab within last 6 months (defined as POEM\<=7, EASI\<=7, or IGA\<=2)
* Able to speak English
* Able and willing to adhere to all study procedures

Exclusion Criteria:

* Taking concurrent systemic medication for atopic dermatitis (e.g., methotrexate, cyclosporine, tralokinumab, abrocitinib, upadacitinib, systemic corticosteroids)
* Using concurrent phototherapy for atopic dermatitis
* Taking dupilumab for a clinical indication other than atopic dermatitis (such as asthma or eosinophilic esophagitis)
* Poor control of atopic dermatitis
* Poor control of asthma or eosinophilic esophagitis
* Has used an investigational drug within 90 days or plan to use an investigational drug during the study period
* Does not have health insurance or will lose health insurance during the study period",https://clinicaltrials.gov/ct2/show/NCT06116526,NCT06116526,Unknown,RECRUITING,2024-04-01,Atopic Dermatitis,"Dupilumab - Discontinuation, Dupilumab - Dose Reduction, Dupilumab - Standard Dose",Baltimore - United States,2026-04-01,2023-11-03,2025-01-15,INTERVENTIONAL,PHASE4
"Inclusion Criteria:

* Signed informed written consent.
* Gender: female.
* Age: 18-55 years at time of signing consent.
* BMI of subjects: \< 45 kg/m2.
* Uterine fibroids:
* Diagnosed by ultrasound (MRI will be used only if ultrasound is inconclusive).
* Number: any number of fibroids.
* Location: submucosal or intramural.
* At least one fibroid of diameter \> 3cm.
* Symptoms: one or more of the following symptoms of heavy menstrual bleeding (HMB), defined as: Experienced cyclic (22 to 35 days) abnormal uterine bleeding (heavy or prolonged) in at least 3 of the last 6 menstrual periods, including menstrual bleeding lasting 5 or more days or heavy bleeding per participant recall. Examples of heavy bleeding may include, but are not limited to the following:
* Requires the use of double protection to manage menstrual bleeding.
* Menstrual bleeding accompanied by the sensation of ""gushing"" or ""flooding"".
* Saturates more than 1 tampon or sanitary pad per hour for 3 or more consecutive hours.
* Regularly needs to change the tampon or sanitary pad at night or regularly soils bedclothes.
* Heavy bleeding that affects work, school, or social activities.
* Pelvic pain/ pressure likely caused by fibroids.
* Plan for surgery (hysterectomy or myomectomy).
* Normal Pap smear within the last year.
* Use of contraception during study such as non-hormonal oral contraceptives, intrauterine devices (IUD)/ intrauterine systems (IUS), barrier contraceptives, abstinence or sterilization.

Exclusion Criteria:

* Pregnancy or lactation.
* Previous or current uterine, cervical or ovarian cancer.
* Current endometrial hyperplasia or history of atypical endometrial hyperplasia. Endometrial biopsy will be done during screening (if not done within last 12 months).
* Suspicion of leiomyosarcoma.
* Recent rapid growth of fibroids (i.e. doubling in size within 1-6 months period).
* Unevaluated gynecologic abnormalities (unexplained vaginal bleeding, cervical dysplasia, or abnormal adnexal/ovarian mass).
* Menopausal status.
* Surgery is urgently indicated (\< 3 months) for medical or social reasons.
* Hemoglobin ≤ 6 g/dL.
* Currently enrolled in another investigational study.
* Mental condition or other barrier preventing informed written consent.
* Allergy or hypersensitivity to simvastatin.
* Current use of simvastatin or other drugs of the same class.
* Concomitant administration of strong CYP3A4 inhibitors including itraconazole, ketoconazole, posaconazole, voriconazole, erythromycin, clarithromycin, telithromycin, HIV protease inhibitors, boceprevir, telaprevir, nefazodone, and cobicistat-containing products.
* Concomitant administration of gemfibrozil, cyclosporine, or danazol, verapamil, diltiazem, amiodarone, diltiazem, dronedarone, amlodipine, ranolazine, lomitapide, and grapefruit juice.
* Active liver disease, which may include unexplained persistent elevations in hepatic transaminase levels.( elevation of aspartate transaminase and/or alanine transaminase \> 2 s.d. above the normal range at screening visit)
* Known increased risk or diagnosis of a myopathy.",https://clinicaltrials.gov/ct2/show/NCT03400826,NCT03400826,Unknown,RECRUITING,2018-08-20,"Fibroid Uterus, Fibroid Tumor, Leiomyoma, Fibromyoma, Leiomyoma, Uterine","Simvastatin 40mg, Placebo 40 mg",Baltimore - United States,2025-07-31,2018-01-17,2024-07-11,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

1. Males and females greater than or equal to 18 years of age;
2. Able to give informed consent and attend all study visits;
3. Have diagnosis of uveitis determined by the Investigator to be non infectious;

   * Have active uveitis, defined as having at least 1+ Vitreous Haze and/or at least 1+ Vitreous Cell Count (SUN scale), and:

     * are receiving no other treatment; or,
     * are receiving prednisone ≥10 mg/day (or equivalent dose of another corticosteroid) and/or at least 1 other systemic immunosuppressant; or, b. Have inactive disease, defined as having 0.5+ Vitreous Haze or less and a grade of 0.5+ Vitreous Cell Count or less (SUN scale), and:
     * are receiving prednisone \<10 mg/day (or equivalent dose of another corticosteroid) and/or at least 1 other systemic immunosuppressant.
4. Have posterior, intermediate, or panuveitis; for panuveitis, if an anterior component is present, it must be less than the posterior component;
5. Sufficient inflammation to require systemic treatment and, based on the Investigator's decision, warrants intravitreal or subconjunctival treatment;
6. Best-corrected (ETDRS) visual acuity of 20/40 to 20/400 (approximately 70 to 20 letters) in the study eye;
7. Best- corrected ETDRS visual acuity of 20/400 or better in the fellow eye (approximately 20 letters).

Exclusion Criteria:

1. Patients with bilateral uveitis who are receiving systemic immunosuppressive therapy (e.g., methotrexate, cyclosporine, cyclophosphamide, chlorambucil, mycophenolate mofetil, tacrolimus, or azathioprine) other than prednisone or other corticosteroids for the treatment of the uveitis, and the uveitis in the fellow eyes, in the opinion of the investigator, cannot be controlled with standard local therapies alone;
2. Any significant ocular disease that could compromise vision in the study eye. These include, but are not limited to:

   * Diabetic retinopathy: proliferative diabetic retinopathy (PDR) or non-proliferative diabetic retinopathy (NPDR) that compromise the vision.
   * Age-related macular degeneration;
   * Myopic degeneration with active subfoveal choroidal neovascularization.
3. Any of the following treatments within 90 days prior to Day 0 or anticipated use of any of the following treatments to the study eye:

   * Intravitreal injections (including but not limited to steroids or anti-vascular endothelial growth factors);
   * Posterior subtenon's steroids.
4. Intraocular surgery within 90 days prior to Day 0 in the study eye;
5. Capsulotomy within 30 days prior to Day 0 in the study eye;
6. If the patient has had glaucoma surgery (trabeculectomy or aqueous shunt device), there must be adequate conjunctiva
7. History of vitreoretinal surgery or scleral buckling
8. Any ocular surgery (including cataract extraction or capsulotomy) of the study eye anticipated within the first 180 days following Day 0;
9. Intraocular pressure ≥25 mmHg in the study eye (glaucoma patients maintained on no more than 2 topical medications with intraocular pressure (IOP) \<25 mmHg are allowed to participate);
10. Pupillary dilation inadequate for quality stereoscopic fundus photography in the study eye;
11. Media opacity that would limit clinical visualization;
12. Presence of any form of ocular malignancy in the study eye, including choroidal melanoma;
13. History of herpetic infection in the study eye or adnexa;
14. Presence of known active or inactive toxoplasmosis in either eye;
15. Ocular or periocular infection in either eye;
16. Participation in other investigational drug or device clinical trials within 30 days prior to Day 0, or planning to participate in other investigational drug or device clinical trials within 180 days following Day 0. This includes both ocular and non-ocular clinical trials.",https://clinicaltrials.gov/ct2/show/NCT00908466,NCT00908466,SAVE,COMPLETED,2009-07,"Uveitis, Intermediate Uveitis, Posterior Uveitis, Panuveitis","Sirolimus (rapamycin), Sirolimus (rapamycin)",Baltimore - United States,2012-07,2009-05-25,2018-08-20,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

1. Males and females who are greater than 18 years of age.
2. Subject has a diagnosis of chronic pain involving the face, upper extremity, or throat, as determined by a review of medical records, history and physical examination. The types of chronic pain eligible for the study are:

   1. Facial pain, including trigeminal neuralgia Type 1, trigeminal neuralgia Type 2, trigeminal neuropathic pain, trigeminal deafferentation pain, symptomatic trigeminal neuralgia, and postherpetic neuralgia.
   2. Complex Regional Pain Syndrome (Types I and II) involving the arm.
   3. Both chronic and episodic forms of refractory Glossopharyngeal Neuralgia (GN).
   4. Deafferentation of the cervical spine leading to pain of the upper extremity.
   5. Central pain syndromes resulting from a prior cerebrovascular insult occurring at least 5 years prior to the study.
3. Subject determined to be treatment-resistant for at least one year prior to the Screening Visit as demonstrated by clinical evidence (determined by review of medical records and discussion with referring pain specialist, anesthesiologist, or neurologist treating chronic pain). The patient must not have responded to treatment with three adequate regimens of medication including one in each of the following categories: antiepileptic drugs, opioids, and antidepressant medications. The trial period for each medication should be at least four weeks, and the two trials must be within the previous 5 years.
4. Subject has at least a score of 6 on the Visual Analog Scale of Pain at all three clinic visits prior to undergoing surgery.
5. Subject must be ambulatory.
6. Females who are postmenopausal, physically incapable of childbearing, or practicing an acceptable method of birth control. Acceptable methods of birth control include surgical sterilization, hormonal contraceptives, or double-barrier methods (condom or diaphragm with a spermicidal agent or intrauterine device \[IUD\]). If practicing an acceptable method of birth control, a negative urine pregnancy test result has been obtained at baseline Visits 1 and 2.
7. Subject is assessed by psychologist with respect to i) the role of psychological factors, including psychological comorbidities, in their chronic pain, ii) their ability to rate pain and make decisions during the extraoperative stimulation trial, and iii) to participate in decision-making capacity to provide informed consent.
8. Subject is able to read English, understand and cooperate with study procedures, and has signed a written informed consent form prior to any study procedures.

Exclusion Criteria:

1. Subject had major surgery within three months prior to Baseline Visit 1 or has other surgery planned during the proposed study period.
2. Subject is determined by medical consultant to have medical contraindications to undergoing surgery.
3. Subject is pregnant or breast-feeding.
4. Subject has a history of alcohol or drug abuse within the past 6 months and dependence within the past year.
5. Subject has a medical illness/condition, co-morbid psychiatric illness, and/or abnormal diagnostic finding that would interfere with the completion of the study, confound the results of the study, or pose risk to the patient.
6. Subject has a diagnosis of mental retardation.
7. Subject has a distinct neurological condition not included in the list of chronic pain syndromes studied in this protocol, or a history of traumatic brain injury associated with loss of consciousness of \> 1 hour and/or intracranial/epidural/subdural bleeding.
8. Diagnosis of a somatoform pain disorder.",https://clinicaltrials.gov/ct2/show/NCT02321566,NCT02321566,Unknown,TERMINATED,2015-02,"Trigeminal Neuralgia (Burchiel Type I), Trigeminal Neuralgia (Burchiel Type II), Trigeminal Neuropathic Pain, Trigeminal Deafferentation Pain, Complex Regional Pain Syndrome (Types I and II, Involving the Upper Extremity), Glossopharyngeal Neuralgia, Upper Extremity Pain Due to Deafferentation of the Cervical Spine, Central Pain Syndromes",Epidural Motor Cortex Stimulation,Baltimore - United States,2017-11-21,2014-12-22,2019-02-18,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

* Age 18 or older
* Undergoing lumbar spine surgery
* Surgery performed between July 1, 2016 and November 30, 2018
* Surgery performed at the Johns Hopkins East Baltimore Campus
* Available data on hemostatic agents used

Exclusion Criteria:

* Age under 18
* Surgery at location other than lumbar spine
* Surgical details unavailable
* Data unavailable for specified endpoints, including:

  * Hemostatic agent use
  * Blood loss
  * Operative time",https://clinicaltrials.gov/ct2/show/NCT04058665,NCT04058665,Unknown,COMPLETED,2019-06-18,Blood Loss,Floseal,Baltimore - United States,2022-03-01,2019-08-15,2023-04-14,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Students in the Johns Hopkins Schools of Medicine or Nursing, and/or internal medicine residents

Exclusion Criteria:

* None",https://clinicaltrials.gov/ct2/show/NCT04080765,NCT04080765,Unknown,COMPLETED,2019-06-27,Hiv,"HIV-ASSIST, DHHS guidelines",Baltimore - United States,2019-07-14,2019-09-06,2020-05-12,INTERVENTIONAL,NA
